edge_id,from_station,to_station,edge_type,approx_km
1,Petropavl Central,Petropavl North,local,31.1
2,Petropavl Central,Petropavl East,local,29.7
3,Petropavl Central,Petropavl South,local,31.1
4,Petropavl North,Petropavl East,local,43.0
5,Petropavl East,Petropavl South,local,43.0
6,Kostanay Central,Kostanay North,local,31.1
7,Kostanay Central,Kostanay East,local,29.7
8,Kostanay Central,Kostanay South,local,31.1
9,Kostanay North,Kostanay East,local,43.0
10,Kostanay East,Kostanay South,local,43.0
11,Rudny Central,Rudny North,local,31.1
12,Rudny Central,Rudny East,local,29.8
13,Rudny Central,Rudny South,local,31.1
14,Rudny North,Rudny East,local,43.0
15,Rudny East,Rudny South,local,43.0
16,Kokshetau Central,Kokshetau North,local,31.1
17,Kokshetau Central,Kokshetau East,local,29.7
18,Kokshetau Central,Kokshetau South,local,31.1
19,Kokshetau North,Kokshetau East,local,43.0
20,Kokshetau East,Kokshetau South,local,43.0
21,Astana Central,Astana North,local,31.1
22,Astana Central,Astana East,local,29.7
23,Astana Central,Astana South,local,31.1
24,Astana Central,Astana West,local,29.8
25,Astana Central,Astana Junction,local,24.6
26,Astana North,Astana East,local,43.0
27,Astana East,Astana South,local,43.0
28,Astana South,Astana West,local,43.0
29,Astana West,Astana Junction,local,50.0
30,Atbasar Central,Atbasar North,local,31.1
31,Atbasar Central,Atbasar East,local,29.7
32,Atbasar Central,Atbasar South,local,31.1
33,Atbasar North,Atbasar East,local,43.0
34,Atbasar East,Atbasar South,local,43.0
35,Pavlodar Central,Pavlodar North,local,31.1
36,Pavlodar Central,Pavlodar East,local,29.7
37,Pavlodar Central,Pavlodar South,local,31.1
38,Pavlodar North,Pavlodar East,local,43.0
39,Pavlodar East,Pavlodar South,local,43.0
40,Ekibastuz Central,Ekibastuz North,local,31.1
41,Ekibastuz Central,Ekibastuz East,local,29.8
42,Ekibastuz Central,Ekibastuz South,local,31.1
43,Ekibastuz North,Ekibastuz East,local,43.0
44,Ekibastuz East,Ekibastuz South,local,43.0
45,Karaganda Central,Karaganda North,local,31.1
46,Karaganda Central,Karaganda East,local,29.7
47,Karaganda Central,Karaganda South,local,31.1
48,Karaganda Central,Karaganda West,local,29.7
49,Karaganda Central,Karaganda Junction,local,24.6
50,Karaganda North,Karaganda East,local,43.0
51,Karaganda East,Karaganda South,local,43.0
52,Karaganda South,Karaganda West,local,43.0
53,Karaganda West,Karaganda Junction,local,50.0
54,Temirtau Central,Temirtau North,local,31.1
55,Temirtau Central,Temirtau East,local,29.8
56,Temirtau Central,Temirtau South,local,31.1
57,Temirtau North,Temirtau East,local,43.0
58,Temirtau East,Temirtau South,local,43.0
59,Jezkazgan Central,Jezkazgan North,local,31.1
60,Jezkazgan Central,Jezkazgan East,local,29.8
61,Jezkazgan Central,Jezkazgan South,local,31.1
62,Jezkazgan North,Jezkazgan East,local,43.0
63,Jezkazgan East,Jezkazgan South,local,43.0
64,Balkhash Central,Balkhash North,local,31.1
65,Balkhash Central,Balkhash East,local,29.7
66,Balkhash Central,Balkhash South,local,31.1
67,Balkhash North,Balkhash East,local,43.0
68,Balkhash East,Balkhash South,local,43.0
69,Semey Central,Semey North,local,31.1
70,Semey Central,Semey East,local,29.7
71,Semey Central,Semey South,local,31.1
72,Semey North,Semey East,local,43.0
73,Semey East,Semey South,local,43.0
74,Oskemen Central,Oskemen North,local,31.1
75,Oskemen Central,Oskemen East,local,29.7
76,Oskemen Central,Oskemen South,local,31.1
77,Oskemen North,Oskemen East,local,43.0
78,Oskemen East,Oskemen South,local,43.0
79,Ayagoz Central,Ayagoz North,local,31.1
80,Ayagoz Central,Ayagoz East,local,29.7
81,Ayagoz Central,Ayagoz South,local,31.1
82,Ayagoz North,Ayagoz East,local,43.0
83,Ayagoz East,Ayagoz South,local,43.0
84,Almaty Central,Almaty North,local,31.1
85,Almaty Central,Almaty East,local,29.7
86,Almaty Central,Almaty South,local,31.1
87,Almaty Central,Almaty West,local,29.8
88,Almaty Central,Almaty Junction,local,24.6
89,Almaty North,Almaty East,local,43.0
90,Almaty East,Almaty South,local,43.0
91,Almaty South,Almaty West,local,43.0
92,Almaty West,Almaty Junction,local,50.0
93,Taldykorgan Central,Taldykorgan North,local,31.1
94,Taldykorgan Central,Taldykorgan East,local,29.7
95,Taldykorgan Central,Taldykorgan South,local,31.1
96,Taldykorgan North,Taldykorgan East,local,43.0
97,Taldykorgan East,Taldykorgan South,local,43.0
98,Saryozek Central,Saryozek North,local,31.1
99,Saryozek Central,Saryozek East,local,29.7
100,Saryozek Central,Saryozek South,local,31.1
101,Saryozek North,Saryozek East,local,43.0
102,Saryozek East,Saryozek South,local,43.0
103,Shu Central,Shu North,local,31.1
104,Shu Central,Shu East,local,29.7
105,Shu Central,Shu South,local,31.1
106,Shu North,Shu East,local,43.0
107,Shu East,Shu South,local,43.0
108,Taraz Central,Taraz North,local,31.1
109,Taraz Central,Taraz East,local,29.7
110,Taraz Central,Taraz South,local,31.1
111,Taraz North,Taraz East,local,43.0
112,Taraz East,Taraz South,local,43.0
113,Shymkent Central,Shymkent North,local,31.1
114,Shymkent Central,Shymkent East,local,29.7
115,Shymkent Central,Shymkent South,local,31.1
116,Shymkent Central,Shymkent West,local,29.8
117,Shymkent Central,Shymkent Junction,local,24.6
118,Shymkent North,Shymkent East,local,43.0
119,Shymkent East,Shymkent South,local,43.0
120,Shymkent South,Shymkent West,local,43.0
121,Shymkent West,Shymkent Junction,local,50.0
122,Turkistan Central,Turkistan North,local,31.1
123,Turkistan Central,Turkistan East,local,29.8
124,Turkistan Central,Turkistan South,local,31.1
125,Turkistan North,Turkistan East,local,43.0
126,Turkistan East,Turkistan South,local,43.0
127,Kyzylorda Central,Kyzylorda North,local,31.1
128,Kyzylorda Central,Kyzylorda East,local,29.7
129,Kyzylorda Central,Kyzylorda South,local,31.1
130,Kyzylorda North,Kyzylorda East,local,43.0
