station_id,anchor,station_name,lat,lon,kind
1,Petropavl,Petropavl Central,54.87,69.15,hub
2,Petropavl,Petropavl North,55.15,69.15,synthetic
3,Petropavl,Petropavl East,54.87,69.5,synthetic
4,Petropavl,Petropavl South,54.59,69.15,synthetic
5,Kostanay,Kostanay Central,53.22,63.63,hub
6,Kostanay,Kostanay North,53.5,63.63,synthetic
7,Kostanay,Kostanay East,53.22,63.98,synthetic
8,Kostanay,Kostanay South,52.94,63.63,synthetic
9,Rudny,Rudny Central,52.97,63.12,hub
10,Rudny,Rudny North,53.25,63.12,synthetic
11,Rudny,Rudny East,52.97,63.47,synthetic
12,Rudny,Rudny South,52.69,63.12,synthetic
13,Kokshetau,Kokshetau Central,53.29,69.39,hub
14,Kokshetau,Kokshetau North,53.57,69.39,synthetic
15,Kokshetau,Kokshetau East,53.29,69.74,synthetic
16,Kokshetau,Kokshetau South,53.01,69.39,synthetic
17,Astana,Astana Central,51.17,71.45,hub
18,Astana,Astana North,51.45,71.45,synthetic
19,Astana,Astana East,51.17,71.8,synthetic
20,Astana,Astana South,50.89,71.45,synthetic
21,Astana,Astana West,51.17,71.1,synthetic
22,Astana,Astana Junction,51.33,71.65,synthetic
23,Atbasar,Atbasar Central,51.8,68.36,hub
24,Atbasar,Atbasar North,52.08,68.36,synthetic
25,Atbasar,Atbasar East,51.8,68.71,synthetic
26,Atbasar,Atbasar South,51.52,68.36,synthetic
27,Pavlodar,Pavlodar Central,52.29,76.97,hub
28,Pavlodar,Pavlodar North,52.57,76.97,synthetic
29,Pavlodar,Pavlodar East,52.29,77.32,synthetic
30,Pavlodar,Pavlodar South,52.01,76.97,synthetic
31,Ekibastuz,Ekibastuz Central,51.73,75.32,hub
32,Ekibastuz,Ekibastuz North,52.01,75.32,synthetic
33,Ekibastuz,Ekibastuz East,51.73,75.67,synthetic
34,Ekibastuz,Ekibastuz South,51.45,75.32,synthetic
35,Karaganda,Karaganda Central,49.8,73.11,hub
36,Karaganda,Karaganda North,50.08,73.11,synthetic
37,Karaganda,Karaganda East,49.8,73.46,synthetic
38,Karaganda,Karaganda South,49.52,73.11,synthetic
39,Karaganda,Karaganda West,49.8,72.76,synthetic
40,Karaganda,Karaganda Junction,49.96,73.31,synthetic
41,Temirtau,Temirtau Central,50.05,72.96,hub
42,Temirtau,Temirtau North,50.33,72.96,synthetic
43,Temirtau,Temirtau East,50.05,73.31,synthetic
44,Temirtau,Temirtau South,49.77,72.96,synthetic
45,Jezkazgan,Jezkazgan Central,47.8,67.71,hub
46,Jezkazgan,Jezkazgan North,48.08,67.71,synthetic
47,Jezkazgan,Jezkazgan East,47.8,68.06,synthetic
48,Jezkazgan,Jezkazgan South,47.52,67.71,synthetic
49,Balkhash,Balkhash Central,46.85,74.98,hub
50,Balkhash,Balkhash North,47.13,74.98,synthetic
51,Balkhash,Balkhash East,46.85,75.33,synthetic
52,Balkhash,Balkhash South,46.57,74.98,synthetic
53,Semey,Semey Central,50.41,80.23,hub
54,Semey,Semey North,50.69,80.23,synthetic
55,Semey,Semey East,50.41,80.58,synthetic
56,Semey,Semey South,50.13,80.23,synthetic
57,Oskemen,Oskemen Central,49.97,82.61,hub
58,Oskemen,Oskemen North,50.25,82.61,synthetic
59,Oskemen,Oskemen East,49.97,82.96,synthetic
60,Oskemen,Oskemen South,49.69,82.61,synthetic
61,Ayagoz,Ayagoz Central,47.96,80.43,hub
62,Ayagoz,Ayagoz North,48.24,80.43,synthetic
63,Ayagoz,Ayagoz East,47.96,80.78,synthetic
64,Ayagoz,Ayagoz South,47.68,80.43,synthetic
65,Almaty,Almaty Central,43.24,76.92,hub
66,Almaty,Almaty North,43.52,76.92,synthetic
67,Almaty,Almaty East,43.24,77.27,synthetic
68,Almaty,Almaty South,42.96,76.92,synthetic
69,Almaty,Almaty West,43.24,76.57,synthetic
70,Almaty,Almaty Junction,43.4,77.12,synthetic
71,Taldykorgan,Taldykorgan Central,45.01,78.37,hub
72,Taldykorgan,Taldykorgan North,45.29,78.37,synthetic
73,Taldykorgan,Taldykorgan East,45.01,78.72,synthetic
74,Taldykorgan,Taldykorgan South,44.73,78.37,synthetic
75,Saryozek,Saryozek Central,44.36,77.98,hub
76,Saryozek,Saryozek North,44.64,77.98,synthetic
77,Saryozek,Saryozek East,44.36,78.33,synthetic
78,Saryozek,Saryozek South,44.08,77.98,synthetic
79,Shu,Shu Central,43.6,73.76,hub
80,Shu,Shu North,43.88,73.76,synthetic
81,Shu,Shu East,43.6,74.11,synthetic
82,Shu,Shu South,43.32,73.76,synthetic
83,Taraz,Taraz Central,42.9,71.37,hub
84,Taraz,Taraz North,43.18,71.37,synthetic
85,Taraz,Taraz East,42.9,71.72,synthetic
86,Taraz,Taraz South,42.62,71.37,synthetic
87,Shymkent,Shymkent Central,42.32,69.59,hub
88,Shymkent,Shymkent North,42.6,69.59,synthetic
89,Shymkent,Shymkent East,42.32,69.94,synthetic
90,Shymkent,Shymkent South,42.04,69.59,synthetic
91,Shymkent,Shymkent West,42.32,69.24,synthetic
92,Shymkent,Shymkent Junction,42.48,69.79,synthetic
93,Turkistan,Turkistan Central,43.3,68.27,hub
94,Turkistan,Turkistan North,43.58,68.27,synthetic
95,Turkistan,Turkistan East,43.3,68.62,synthetic
96,Turkistan,Turkistan South,43.02,68.27,synthetic
97,Kyzylorda,Kyzylorda Central,44.85,65.51,hub
98,Kyzylorda,Kyzylorda North,45.13,65.51,synthetic
99,Kyzylorda,Kyzylorda East,44.85,65.86,synthetic
100,Kyzylorda,Kyzylorda South,44.57,65.51,synthetic
101,Baikonur,Baikonur Central,45.61,63.32,hub
102,Baikonur,Baikonur North,45.89,63.32,synthetic
103,Baikonur,Baikonur East,45.61,63.67,synthetic
104,Baikonur,Baikonur South,45.33,63.32,synthetic
105,Aral,Aral Central,46.8,61.67,hub
106,Aral,Aral North,47.08,61.67,synthetic
107,Aral,Aral East,46.8,62.02,synthetic
108,Aral,Aral South,46.52,61.67,synthetic
109,Aktobe,Aktobe Central,50.28,57.17,hub
110,Aktobe,Aktobe North,50.56,57.17,synthetic
111,Aktobe,Aktobe East,50.28,57.52,synthetic
112,Aktobe,Aktobe South,50.0,57.17,synthetic
113,Aktobe,Aktobe West,50.28,56.82,synthetic
114,Aktobe,Aktobe Junction,50.44,57.37,synthetic
115,Kandyagash,Kandyagash Central,49.47,57.43,hub
116,Kandyagash,Kandyagash North,49.75,57.43,synthetic
117,Kandyagash,Kandyagash East,49.47,57.78,synthetic
118,Kandyagash,Kandyagash South,49.19,57.43,synthetic
119,Atyrau,Atyrau Central,47.1,51.92,hub
120,Atyrau,Atyrau North,47.38,51.92,synthetic
121,Atyrau,Atyrau East,47.1,52.27,synthetic
122,Atyrau,Atyrau South,46.82,51.92,synthetic
123,Aksaray,Aksaray Central,47.07,51.91,hub
124,Aksaray,Aksaray North,47.35,51.91,synthetic
125,Aksaray,Aksaray East,47.07,52.26,synthetic
126,Aksaray,Aksaray South,46.79,51.91,synthetic
127,Aktau,Aktau Central,43.65,51.2,hub
128,Aktau,Aktau North,43.93,51.2,synthetic
129,Aktau,Aktau East,43.65,51.55,synthetic
130,Aktau,Aktau South,43.37,51.2,synthetic
131,Zhanaozen,Zhanaozen Central,43.34,52.86,hub
132,Zhanaozen,Zhanaozen North,43.62,52.86,synthetic
133,Zhanaozen,Zhanaozen East,43.34,53.21,synthetic
134,Zhanaozen,Zhanaozen South,43.06,52.86,synthetic
135,Beyneu,Beyneu Central,45.32,55.2,hub
136,Beyneu,Beyneu North,45.6,55.2,synthetic
137,Beyneu,Beyneu East,45.32,55.55,synthetic
138,Beyneu,Beyneu South,45.04,55.2,synthetic
139,Oral,Oral Central,51.23,51.37,hub
140,Oral,Oral North,51.51,51.37,synthetic
141,Oral,Oral East,51.23,51.72,synthetic
142,Oral,Oral South,50.95,51.37,synthetic
143,Shalkar,Shalkar Central,47.83,59.62,hub
144,Shalkar,Shalkar North,48.11,59.62,synthetic
145,Shalkar,Shalkar East,47.83,59.97,synthetic
146,Shalkar,Shalkar South,47.55,59.62,synthetic
147,Makat,Makat Central,47.65,53.35,hub
148,Makat,Makat North,47.93,53.35,synthetic
149,Makat,Makat East,47.65,53.7,synthetic
150,Makat,Makat South,47.37,53.35,synthetic
